[2018-06-23, 05:59:03.0930 UTC] -> Sat, 23 Jun 2018 05:59:03 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:03.0930 UTC] -> Sat, 23 Jun 2018 05:59:03 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:03.0931 UTC] -> Sat, 23 Jun 2018 05:59:03 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:03.0964 UTC] -> Sat, 23 Jun 2018 05:59:03 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0033 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0053 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0054 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0055 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0056 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0099 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0100 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0100 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0134 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0193 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0214 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0215 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0216 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0217 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0263 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0264 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0264 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0300 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0370 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0390 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0391 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0392 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0393 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0441 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0442 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0442 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:04.0481 UTC] -> Sat, 23 Jun 2018 05:59:04 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0722 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0741 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0742 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0744 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0745 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0784 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0785 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0787 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:15.0822 UTC] -> Sat, 23 Jun 2018 05:59:15 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0108 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0128 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0129 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0130 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
